GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bankaccount,com.example.bankaccount,BankaccountApplication,5,3,0,0,2,1,1,1,1,1
bankaccount,com.example.bankaccount.rules,SavingsAccountWithdrawalRule,15,3,2,0,4,1,2,1,1,1
bankaccount,com.example.bankaccount.rules,CheckingAccountWithdrawalRule,18,3,2,0,4,1,2,1,1,1
bankaccount,com.example.bankaccount.rules,DepositRule,5,8,1,1,1,3,1,2,0,2
bankaccount,com.example.bankaccount.mapper,BankAccountMapper,33,0,0,0,11,0,3,0,3,0
bankaccount,com.example.bankaccount.service.impl,BankAccountServiceImpl,76,144,6,4,14,31,9,12,5,11
bankaccount,com.example.bankaccount.service.impl,CustomerValidationServiceImpl,0,11,0,0,0,4,0,2,0,2
bankaccount,com.example.bankaccount.model,BankAccount.AccountType,0,15,0,0,0,2,0,1,0,1
bankaccount,com.example.bankaccount.model,BankAccount,38,57,6,8,9,16,6,7,1,5
bankaccount,com.example.bankaccount.dto,ErrorResponse,9,0,0,0,4,0,1,0,1,0
bankaccount,com.example.bankaccount.client,CustomerClient,20,6,0,0,8,3,1,1,1,1
bankaccount,com.example.bankaccount.config,WebClientConfig,0,9,0,0,0,4,0,2,0,2
bankaccount,com.example.bankaccount.config,OpenApiConfig,0,27,0,0,0,10,0,2,0,2
bankaccount,com.example.bankaccount.config,GlobalExceptionHandler,83,3,0,0,17,1,5,1,5,1
bankaccount,com.example.bankaccount.controller,BankAccountController,124,6,2,0,28,3,9,1,8,1
